"","P","D","W","ll","copula","params1","params2"
"1","1","256","64","0","Independent",NA,NA
"2","1","256","64","0.0365662637442039","normalCopula","-0.0391926725234086",NA
"3","1","256","64","0.0583089800141373","claytonCopula","-0.0180266421791929",NA
"4","1","256","64","-3.84620545551551e-08","gumbelCopula","1.00000001490116",NA
"5","1","256","64","-Inf","galambosCopula",NA,NA
"6","1","256","64","-Inf","huslerReissCopula",NA,NA
"7","1","256","64","-Inf","tevCopula",NA,NA
"8","1","256","64","0.0364943029944298","tCopula","-0.0391904908232585","46817.2120947708"
"9","1","256","64","-8.18893812759569e-08","rot gumbelCopula","1.00000001490116",NA
"10","1","256","64","-Inf","rot galambosCopula",NA,NA
"11","1","256","64","-Inf","rot huslerReissCopula",NA,NA
"12","2","256","64","0","Independent",NA,NA
"13","2","256","64","0.0440178180842721","normalCopula","-0.042988379724344",NA
"14","2","256","64","0.0244430073398747","claytonCopula","0.0422854016411622",NA
"15","2","256","64","-6.3822874499242e-08","gumbelCopula","1.00000001490116",NA
"16","2","256","64","-Inf","galambosCopula",NA,NA
"17","2","256","64","-Inf","huslerReissCopula",NA,NA
"18","2","256","64","-Inf","tevCopula",NA,NA
"19","2","256","64","0.124149184456092","tCopula","-0.0213174565067241","9.21639428288591"
"20","2","256","64","0.0407182083239512","rot gumbelCopula","1.0258007927378",NA
"21","2","256","64","-Inf","rot galambosCopula",NA,NA
"22","2","256","64","-Inf","rot huslerReissCopula",NA,NA
"23","3","256","64","0","Independent",NA,NA
"24","3","256","64","4.37870373378725","normalCopula","-0.387233143634101",NA
"25","3","256","64","2.16514684186334","claytonCopula","-0.168916587167562",NA
"26","3","256","64","-4.3674030287752e-07","gumbelCopula","1.00000001490116",NA
"27","3","256","64","-Inf","galambosCopula",NA,NA
"28","3","256","64","-Inf","huslerReissCopula",NA,NA
"29","3","256","64","-Inf","tevCopula",NA,NA
"30","3","256","64","4.37759585021633","tCopula","-0.387226507637449","5834.77281377266"
"31","3","256","64","-4.141747214359e-07","rot gumbelCopula","1.00000001490116",NA
"32","3","256","64","-Inf","rot galambosCopula",NA,NA
"33","3","256","64","-Inf","rot huslerReissCopula",NA,NA
"34","4","256","64","0","Independent",NA,NA
"35","4","256","64","0.163993231228441","normalCopula","-0.0827624373893686",NA
"36","4","256","64","0.0249012873450782","claytonCopula","-0.0399443733275656",NA
"37","4","256","64","-1.21299957675514e-07","gumbelCopula","1.00000001490116",NA
"38","4","256","64","-Inf","galambosCopula",NA,NA
"39","4","256","64","-Inf","huslerReissCopula",NA,NA
"40","4","256","64","-Inf","tevCopula",NA,NA
"41","4","256","64","0.163686593051186","tCopula","-0.0831507233177623","3727.44465660047"
"42","4","256","64","-3.41991977861889e-08","rot gumbelCopula","1.00000001490116",NA
"43","4","256","64","-Inf","rot galambosCopula",NA,NA
"44","4","256","64","-Inf","rot huslerReissCopula",NA,NA
"45","5","256","64","0","Independent",NA,NA
"46","5","256","64","1.07306712178382","normalCopula","0.206043966345415",NA
"47","5","256","64","0.304357945619563","claytonCopula","0.310639997648566",NA
"48","5","256","64","1.10680420477318","gumbelCopula","1.14173221242787",NA
"49","5","256","64","1.36433744852692","galambosCopula","0.40401875160611",NA
"50","5","256","64","1.44859208927629","huslerReissCopula","0.761034629741717",NA
"51","5","256","64","1.42576692031617","tevCopula","0.922216063465741","43.4907105753797"
"52","5","256","64","1.07301685833633","tCopula","0.206330332094403","35401.6616977325"
"53","5","256","64","0.859335773671048","rot gumbelCopula","1.13641845612714",NA
"54","5","256","64","0.681428080706841","rot galambosCopula","0.367067965138675",NA
"55","5","256","64","0.634766717484378","rot huslerReissCopula","0.686846334568176",NA
"56","6","256","64","0","Independent",NA,NA
"57","6","256","64","1.43223255423139","normalCopula","-0.235863335992594",NA
"58","6","256","64","3.23629539039121","claytonCopula","-0.245213942277347",NA
"59","6","256","64","-1.94461177159631e-07","gumbelCopula","1.00000001490116",NA
"60","6","256","64","-Inf","galambosCopula",NA,NA
"61","6","256","64","-Inf","huslerReissCopula",NA,NA
"62","6","256","64","-Inf","tevCopula",NA,NA
"63","6","256","64","1.43188199939125","tCopula","-0.235856053623206","2698.09735369636"
"64","6","256","64","-3.13255727986145e-07","rot gumbelCopula","1.00000001490116",NA
"65","6","256","64","-Inf","rot galambosCopula",NA,NA
"66","6","256","64","-Inf","rot huslerReissCopula",NA,NA
"67","7","256","64","0","Independent",NA,NA
"68","7","256","64","1.59416924454355","normalCopula","-0.247765127857059",NA
"69","7","256","64","1.704816770626","claytonCopula","-0.217927058375876",NA
"70","7","256","64","-1.91897911129644e-07","gumbelCopula","1.00000001490116",NA
"71","7","256","64","-Inf","galambosCopula",NA,NA
"72","7","256","64","-Inf","huslerReissCopula",NA,NA
"73","7","256","64","-Inf","tevCopula",NA,NA
"74","7","256","64","1.60072358639005","tCopula","-0.247438268113211","26.3148022326459"
"75","7","256","64","-3.1526097517276e-07","rot gumbelCopula","1.00000001490116",NA
"76","7","256","64","-Inf","rot galambosCopula",NA,NA
