"","P","ll","copula","params1","params2"
"1","1","0","Independent",NA,NA
"2","1","162.29586345541","normalCopula","0.863653752603216",NA
"3","1","131.57129213554","claytonCopula","5.54260147986003",NA
"4","1","149.585815092776","gumbelCopula","2.80817082373606",NA
"5","1","147.002620352736","galambosCopula","2.07766449117881",NA
"6","1","131.529329516642","huslerReissCopula","2.31446898829376",NA
"7","1","155.366717085644","tevCopula","0.917267045685086","2.10871270677616"
"8","1","178.029160804157","tCopula","0.884154091990669","5.08303795410372"
"9","1","180.974880483389","rot gumbelCopula","3.18328046308542",NA
"10","1","179.211516320359","rot galambosCopula","2.48108380184263",NA
"11","1","163.240093299523","rot huslerReissCopula","2.78103546153551",NA
"12","2","0","Independent",NA,NA
"13","2","116.497366756695","normalCopula","0.834364092258556",NA
"14","2","31.2100712274719","claytonCopula","4.85833979301725",NA
"15","2","100.593871660801","gumbelCopula","2.43751168822189",NA
"16","2","99.7446200149527","galambosCopula","1.70430473719714",NA
"17","2","95.8921193999216","huslerReissCopula","2.12576214765442",NA
"18","2","100.345372999516","tevCopula","0.922900362927245","3.96808679924373"
"19","2","116.488125943129","tCopula","0.834388246610105","1479.97835474734"
"20","2","108.654889442903","rot gumbelCopula","2.53949265580006",NA
"21","2","107.568096614572","rot galambosCopula","1.81844965515271",NA
"22","2","101.894181085262","rot huslerReissCopula","2.21694033695651",NA
"23","3","0","Independent",NA,NA
"24","3","253.280274292341","normalCopula","0.916671325766132",NA
"25","3","37.7631659542627","claytonCopula","9.79933719557303",NA
"26","3","228.157482570032","gumbelCopula","3.49463615975159",NA
"27","3","224.864565382246","galambosCopula","2.76914851720469",NA
"28","3","197.821889381584","huslerReissCopula","2.84547052093411",NA
"29","3","239.051626935475","tevCopula","0.946661512335332","1.88191894561697"
"30","3","255.898234237092","tCopula","0.921479405575773","12.4406720950732"
"31","3","245.213040063911","rot gumbelCopula","3.67847089088668",NA
"32","3","243.416217971578","rot galambosCopula","2.95526017648155",NA
"33","3","230.704911101019","rot huslerReissCopula","3.33138057663778",NA
"34","4","0","Independent",NA,NA
"35","4","124.962952310322","normalCopula","0.844783792718444",NA
"36","4","47.8284663147054","claytonCopula","5.28197889597936",NA
"37","4","112.831441670235","gumbelCopula","2.60874488923109",NA
"38","4","110.536892093468","galambosCopula","1.87588544612438",NA
