"","P","ll","copula","params"
"1","0","31.4555171497253","claytonCopula","2.70979501948867"
"2","0","170.002036508831","gumbelCopula","2.17141951003582"
"3","0","170.174801980062","galambosCopula","1.45655511733034"
"4","0","169.11842906851","huslerReissCopula","1.96645868756534"
"5","0","170.028699406089","tevCopula","0.953465245454616"
"6","0","164.901860028895","tCopula","0.758639060809732"
"7","0","134.147142006182","rot gumbelCopula","1.98969797935508"
"8","0","132.331944636368","rot galambosCopula","1.25110265199554"
"9","0","127.739498242287","rot huslerReissCopula","1.65614385586402"
"10","1","46.5060036224424","claytonCopula","3.14483593870386"
"11","1","180.844957346755","gumbelCopula","2.23458460301099"
"12","1","180.978947546973","galambosCopula","1.51700709587935"
"13","1","178.813743843902","huslerReissCopula","2.00898287540592"
"14","1","180.803441565223","tevCopula","0.94922839396557"
"15","1","190.228766195787","tCopula","0.78717611356332"
"16","1","159.42252904342","rot gumbelCopula","2.12970954144476"
"17","1","158.061750522073","rot galambosCopula","1.39501847444918"
"18","1","153.420979725972","rot huslerReissCopula","1.81581262412099"
"19","10","56.2337561998061","claytonCopula","2.00043380570247"
"20","10","111.199195540736","gumbelCopula","1.80066622357324"
"21","10","111.158766994494","galambosCopula","1.07380477822442"
"22","10","109.866295795259","huslerReissCopula","1.5154996096562"
"23","10","111.030470678226","tevCopula","0.908884794442181"
"24","10","119.961184478495","tCopula","0.676146500663114"
"25","10","107.701436011718","rot gumbelCopula","1.79339238073925"
"26","10","106.111830912152","rot galambosCopula","1.06075443884755"
"27","10","102.557515624268","rot huslerReissCopula","1.46876203990549"
"28","11","-4.73552905294723","claytonCopula","1.5731140170524"
"29","11","98.7087028634942","gumbelCopula","1.7979474783268"
"30","11","97.9156758295859","galambosCopula","1.08608121511301"
"31","11","94.8246039778319","huslerReissCopula","1.53067148749571"
"32","11","99.4065609404236","tevCopula","0.801298442705851"
"33","11","83.6929714524431","tCopula","0.620846579694532"
"34","11","54.1891814686285","rot gumbelCopula","1.57535606691574"
"35","11","50.7406284005048","rot galambosCopula","0.823237950500585"
"36","11","46.2319567348257","rot huslerReissCopula","1.1638705192915"
"37","12","101.622530089918","claytonCopula","2.36386152841515"
"38","12","126.282226049057","gumbelCopula","1.8997080877612"
"39","12","125.217390337788","galambosCopula","1.17121147804181"
"40","12","120.750513228311","huslerReissCopula","1.58265879597115"
"41","12","126.048046615085","tevCopula","0.866594368853692"
"42","12","148.389684536794","tCopula","0.724594353796316"
"43","12","143.086763789936","rot gumbelCopula","1.97765850661359"
"44","12","143.21175736898","rot galambosCopula","1.25905890710527"
"45","12","141.160334453811","rot huslerReissCopula","1.72107156268912"
"46","13","99.588438209803","claytonCopula","2.66424171903168"
"47","13","158.249721682698","gumbelCopula","2.10352653539093"
"48","13","157.648348537644","galambosCopula","1.38169282629952"
"49","13","153.36819164902","huslerReissCopula","1.8242460809136"
"50","13","157.860719358358","tevCopula","0.916020722373998"
"51","13","175.810381244385","tCopula","0.770690833208526"
"52","13","160.218666488849","rot gumbelCopula","2.09298013201084"
"53","13","162.004612688473","rot galambosCopula","1.38020815870702"
"54","13","163.756434305085","rot huslerReissCopula","1.91080320563371"
"55","14","54.1131475020582","claytonCopula","2.27627231937986"
"56","14","98.8760685887205","gumbelCopula","1.98058440350223"
"57","14","96.1031654962157","galambosCopula","1.27383193198088"
"58","14","79.0546606016679","huslerReissCopula","1.52861467424912"
"59","14","105.376721632333","tevCopula","0.824335775750497"
"60","14","108.367365209924","tCopula","0.726111917359473"
"61","14","92.6944853655163","rot gumbelCopula","1.9327218733575"
"62","14","91.4522048428469","rot galambosCopula","1.20794102944397"
"63","14","85.9232067096753","rot huslerReissCopula","1.59517109339347"
"64","2","52.3654645386974","claytonCopula","2.22044888547991"
"65","2","122.665176150238","gumbelCopula","1.86957017707677"
"66","2","121.833415140624","galambosCopula","1.14255848991262"
"67","2","118.420053716964","huslerReissCopula","1.56842339475983"
"68","2","122.471320093481","tevCopula","0.864215335465611"
"69","2","131.845079014191","tCopula","0.700450178174571"
"70","2","116.920644678094","rot gumbelCopula","1.86136828165143"
"71","2","112.48599985418","rot galambosCopula","1.12673535398804"
"72","2","101.124060286577","rot huslerReissCopula","1.45131599014713"
"73","3","41.179258804157","claytonCopula","2.12284521966784"
"74","3","128.242410936141","gumbelCopula","1.90075399089314"
"75","3","129.373061547042","galambosCopula","1.18392859636087"
"76","3","129.515084038673","huslerReissCopula","1.66600881571342"
"77","3","129.774940286449","tevCopula","0.965724786641378"
"78","3","133.149690900044","tCopula","0.704873377072669"
"79","3","108.46348758042","rot gumbelCopula","1.81143869055715"
"80","3","108.308319038581","rot galambosCopula","1.08042941504641"
"81","3","107.111285146778","rot huslerReissCopula","1.5142939419173"
"82","4","26.7762756415554","claytonCopula","2.24191009688113"
"83","4","130.679979290968","gumbelCopula","2.00352802312822"
"84","4","131.745181946998","galambosCopula","1.29287625946132"
"85","4","132.27928851933","huslerReissCopula","1.808357460631"
"86","4","132.358126990688","tevCopula","0.97625969438584"
"87","4","125.202108845714","tCopula","0.718366562546141"
"88","4","99.7343416768488","rot gumbelCopula","1.84679764037454"
"89","4","98.1788863996081","rot galambosCopula","1.11050080627916"
"90","4","94.5624892211855","rot huslerReissCopula","1.50887785584861"
"91","5","93.2640491756175","claytonCopula","2.1069058777703"
"92","5","119.667275490679","gumbelCopula","1.86694309378615"
"93","5","120.897528763089","galambosCopula","1.15559937122045"
"94","5","118.685126054719","huslerReissCopula","1.61181925997778"
"95","5","121.280632064218","tevCopula","0.928518516343069"
"96","5","137.165289122339","tCopula","0.718062833867445"
"97","5","126.781828407262","rot gumbelCopula","1.89987420361959"
"98","5","129.123344408246","rot galambosCopula","1.18954491370798"
"99","5","131.431765488536","rot huslerReissCopula","1.70217544356817"
"100","6","43.3200074701822","claytonCopula","3.05989337257306"
"101","6","155.873052241447","gumbelCopula","2.09779144878695"
"102","6","155.968761824285","galambosCopula","1.36809762840475"
"103","6","155.294485921985","huslerReissCopula","1.84330255824875"
"104","6","155.760863548866","tevCopula","0.959061916046442"
"105","6","170.739356544837","tCopula","0.764107910938048"
"106","6","148.654338230775","rot gumbelCopula","2.0845246049189"
"107","6","145.008022242377","rot galambosCopula","1.34902336330924"
"108","6","135.164635486872","rot huslerReissCopula","1.69636980852159"
"109","7","22.611881723353","claytonCopula","1.28839836424616"
"110","7","82.1002359254532","gumbelCopula","1.60328238505255"
"111","7","82.1026421565966","galambosCopula","0.883389230533818"
"112","7","79.711635499935","huslerReissCopula","1.29589403303403"
"113","7","82.5550779277684","tevCopula","0.826724233666871"
"114","7","77.725942862261","tCopula","0.567770758031095"
"115","7","59.4670289645326","rot gumbelCopula","1.50104696136292"
"116","7","60.1482043869272","rot galambosCopula","0.766011571334408"
"117","7","60.7508989904255","rot huslerReissCopula","1.18175767724629"
"118","8","172.453036645447","claytonCopula","2.24173179400762"
"119","8","105.751184883682","gumbelCopula","1.8085391923201"
"120","8","104.002435633325","galambosCopula","1.06723684859577"
"121","8","99.5154664349089","huslerReissCopula","1.45227351247601"
"122","8","105.438044571492","tevCopula","0.82139521949575"
"123","8","144.981590560424","tCopula","0.721667901074178"
"124","8","169.122655208456","rot gumbelCopula","2.11655139281579"
"125","8","169.565960876762","rot galambosCopula","1.41343929913551"
"126","8","169.345909444256","rot huslerReissCopula","1.95408838622806"
"127","9","58.2719191549055","claytonCopula","1.54725353309186"
"128","9","92.4801362688442","gumbelCopula","1.69619951380012"
"129","9","90.7060276319005","galambosCopula","0.96823100876606"
"130","9","85.3975722466712","huslerReissCopula","1.35296437973057"
"131","9","93.3813293446404","tevCopula","0.759830412485084"
"132","9","99.4204028850087","tCopula","0.624980479797928"
"133","9","88.9930051093754","rot gumbelCopula","1.67265956436406"
"134","9","87.7626541795435","rot galambosCopula","0.944147090999255"
"135","9","84.7317326686073","rot huslerReissCopula","1.34953559765576"
