"","P","ll","D","W","copula","params1","params2"
"1","0","0","400","8","Independent",NA,NA
"2","0","84.5173378792945","400","8","normalCopula","0.787884035954833",NA
"3","0","71.9733360902142","400","8","claytonCopula","3.35809443363192",NA
"4","0","69.0051806082628","400","8","gumbelCopula","2.12486970037689",NA
"5","0","67.7494813390296","400","8","galambosCopula","1.39435756567669",NA
"6","0","62.7993619818478","400","8","huslerReissCopula","1.74980416607147",NA
"7","0","69.9271780043073","400","8","tevCopula","0.861720061772947","2.79957333247366"
"8","0","84.9958082771159","400","8","tCopula","0.791566397407156","16.9905880530637"
"9","0","89.0960015968168","400","8","rot gumbelCopula","2.34841932317977",NA
"10","0","89.6904726002333","400","8","rot galambosCopula","1.64182891719529",NA
"11","0","90.4948009635948","400","8","rot huslerReissCopula","2.22651310388112",NA
"12","0","0","400","24","Independent",NA,NA
"13","0","18.7701224194824","400","24","normalCopula","0.453467078026364",NA
"14","0","14.588122693025","400","24","claytonCopula","0.890884576711238",NA
"15","0","11.919065570916","400","24","gumbelCopula","1.32237125203372",NA
"16","0","13.0385426516877","400","24","galambosCopula","0.595821352708921",NA
"17","0","13.7449547257925","400","24","huslerReissCopula","1.00263667587414",NA
"18","0","13.6351375067246","400","24","tevCopula","0.970654960191503","66.9891003068089"
"19","0","18.7656853669908","400","24","tCopula","0.453442507109596","6851.19278064798"
"20","0","15.7873891648738","400","24","rot gumbelCopula","1.36800726672381",NA
"21","0","16.6931193424676","400","24","rot galambosCopula","0.647994918195108",NA
"22","0","17.1615489989547","400","24","rot huslerReissCopula","1.05936344155493",NA
"23","0","0","400","70","Independent",NA,NA
"24","0","29.5206073420735","400","70","normalCopula","0.550083532406987",NA
"25","0","29.0544571305625","400","70","claytonCopula","1.11696178243746",NA
"26","0","18.6175203163271","400","70","gumbelCopula","1.42422043231693",NA
"27","0","19.7068705368161","400","70","galambosCopula","0.705269611833802",NA
"28","0","20.1731782833174","400","70","huslerReissCopula","1.12475042962518",NA
"29","0","20.1156115653258","400","70","tevCopula","0.965888150643561","45.2073156902403"
"30","0","29.5089416588181","400","70","tCopula","0.550004887912694","2850.10005412389"
"31","0","27.3610517546932","400","70","rot gumbelCopula","1.51372688992956",NA
"32","0","29.4966923939653","400","70","rot galambosCopula","0.808569451862167",NA
"33","0","31.2091278982175","400","70","rot huslerReissCopula","1.28490587029868",NA
"34","0","0","770","8","Independent",NA,NA
"35","0","43.118368801474","770","8","normalCopula","0.631929267154795",NA
"36","0","32.1676199131759","770","8","claytonCopula","1.82127811654346",NA
"37","0","31.8204520598464","770","8","gumbelCopula","1.60428413801324",NA
"38","0","32.865598627707","770","8","galambosCopula","0.880767028054248",NA
"39","0","33.5588412086295","770","8","huslerReissCopula","1.32692314364618",NA
"40","0","33.4431321417793","770","8","tevCopula","0.970988752689453","38.0347250916988"
"41","0","43.1023978899818","770","8","tCopula","0.631946718144066","735.732014619287"
"42","0","42.245898056951","770","8","rot gumbelCopula","1.72025528229369",NA
"43","0","42.3845794081667","770","8","rot galambosCopula","1.00236930384495",NA
"44","0","41.8028726806225","770","8","rot huslerReissCopula","1.44283534217826",NA
"45","0","0","770","24","Independent",NA,NA
"46","0","41.1535474780865","770","24","normalCopula","0.623929467935217",NA
"47","0","25.0740096622785","770","24","claytonCopula","1.61823633587276",NA
"48","0","41.187318184406","770","24","gumbelCopula","1.72414384443967",NA
"49","0","40.5372289504989","770","24","galambosCopula","0.996770861048356",NA
"50","0","39.1936776866889","770","24","huslerReissCopula","1.41084469813379",NA
"51","0","41.1671151725668","770","24","tevCopula","0.773003815614381","3.10188765556485"
"52","0","43.0764867282753","770","24","tCopula","0.63453970982139","6.8602899524748"
"53","0","38.9762792712523","770","24","rot gumbelCopula","1.70033318723396",NA
