"","P","ll","S","copula","params1","params2"
"1","0","0","0","Independent",NA,NA
"2","0","234.93613960779","0","normalCopula","0.849907409449418",NA
"3","0","94.6052763098102","0","claytonCopula","4.41565122241809",NA
"4","0","200.063723847586","0","gumbelCopula","2.48000623438481",NA
"5","0","200.408498188599","0","galambosCopula","1.75782602625819",NA
"6","0","197.451521523072","0","huslerReissCopula","2.25281910043798",NA
"7","0","200.442327120231","0","tevCopula","0.963754775429738","9.21651277064909"
"8","0","234.919748707258","0","tCopula","0.849895048604216","4784.95775427547"
"9","0","210.916750013902","0","rot gumbelCopula","2.55709384900815",NA
"10","0","211.032522530389","0","rot galambosCopula","1.84036544769773",NA
"11","0","207.614218618615","0","rot huslerReissCopula","2.34379789204217",NA
"12","0","0","1","Independent",NA,NA
"13","0","256.253513394244","1","normalCopula","0.870373808232744",NA
"14","0","125.751951925923","1","claytonCopula","5.9931090665753",NA
"15","0","215.550881060687","1","gumbelCopula","2.7177495396686",NA
"16","0","210.717842901478","1","galambosCopula","1.97561186190556",NA
"17","0","190.122867955699","1","huslerReissCopula","2.19942625993677",NA
"18","0","224.563300489667","1","tevCopula","0.907262620296804","1.8906144424381"
"19","0","257.127863204235","1","tCopula","0.873535901729418","24.4640744146829"
"20","0","255.066560393938","1","rot gumbelCopula","2.98605066563531",NA
"21","0","253.666054687549","1","rot galambosCopula","2.26609272534539",NA
"22","0","245.904345238484","1","rot huslerReissCopula","2.74261028199182",NA
"23","0","0","2","Independent",NA,NA
"24","0","260.761170552459","2","normalCopula","0.868456920493578",NA
"25","0","63.211286581405","2","claytonCopula","6.40300075259604",NA
"26","0","222.403246457741","2","gumbelCopula","2.73246616386336",NA
"27","0","217.167134443289","2","galambosCopula","1.98781298659023",NA
"28","0","196.17561168612","2","huslerReissCopula","2.20638582200914",NA
"29","0","232.634756581906","2","tevCopula","0.906170359462661","1.7882471819066"
"30","0","261.237536827795","2","tCopula","0.871047376719076","33.4763325143498"
"31","0","250.529566969574","2","rot gumbelCopula","2.91380185216421",NA
"32","0","248.095034040233","2","rot galambosCopula","2.18337514461919",NA
"33","0","236.648263910816","2","rot huslerReissCopula","2.58159035681831",NA
"34","1","0","0","Independent",NA,NA
"35","1","206.252207761993","0","normalCopula","0.835907623522311",NA
"36","1","85.8070344951219","0","claytonCopula","4.13264553455374",NA
"37","1","184.647050094018","0","gumbelCopula","2.47014369501653",NA
"38","1","183.489847362438","0","galambosCopula","1.74891275245606",NA
"39","1","175.164450020591","0","huslerReissCopula","2.16426870442866",NA
"40","1","184.939230583318","0","tevCopula","0.929677472992775","4.24512689304303"
"41","1","206.250792702872","0","tCopula","0.836005116417386","5777.52471366091"
"42","1","188.281750819959","0","rot gumbelCopula","2.49487525166115",NA
"43","1","187.404718745911","0","rot galambosCopula","1.7761221561752",NA
"44","1","180.200889744183","0","rot huslerReissCopula","2.21275088265037",NA
"45","1","0","1","Independent",NA,NA
"46","1","259.120755580058","1","normalCopula","0.87042175484258",NA
"47","1","127.148479457266","1","claytonCopula","5.39006386239332",NA
"48","1","235.117595574001","1","gumbelCopula","2.82752355874856",NA
"49","1","231.462619429068","1","galambosCopula","2.10130320386399",NA
"50","1","211.74303009118","1","huslerReissCopula","2.37562145587053",NA
"51","1","241.530966115434","1","tevCopula","0.919489320882245","2.21717889117554"
"52","1","260.97725526815","1","tCopula","0.875184400155383","12.2967016242125"
"53","1","250.061364696129","1","rot gumbelCopula","2.92775375499001",NA
"54","1","247.923400227731","1","rot galambosCopula","2.2075928289812",NA
"55","1","235.009202206255","1","rot huslerReissCopula","2.60232403393349",NA
"56","1","0","2","Independent",NA,NA
"57","1","272.960829081678","2","normalCopula","0.881789139903266",NA
"58","1","221.856444324412","2","claytonCopula","5.74741008848045",NA
"59","1","222.679381467123","2","gumbelCopula","2.73496701235088",NA
"60","1","219.874839966247","2","galambosCopula","1.99656893166155",NA
"61","1","206.307837408176","2","huslerReissCopula","2.33143398316878",NA
"62","1","224.861376611692","2","tevCopula","0.9256397103139","2.74796426884705"
"63","1","273.113285985788","2","tCopula","0.882717536528913","44.0607277708345"
"64","1","286.591477149293","2","rot gumbelCopula","3.23650596106815",NA
"65","1","285.908184356985","2","rot galambosCopula","2.53072185795909",NA
"66","1","279.280064951703","2","rot huslerReissCopula","3.09061482809941",NA
"67","2","0","0","Independent",NA,NA
"68","2","298.924062260831","0","normalCopula","0.895283023932532",NA
"69","2","121.905852737289","0","claytonCopula","7.20329036576601",NA
"70","2","260.590475747083","0","gumbelCopula","3.06233634598444",NA
"71","2","256.163021684332","0","galambosCopula","2.31776792514948",NA
"72","2","237.836856824386","0","huslerReissCopula","2.5813701816473",NA
"73","2","269.723529921602","0","tevCopula","0.925362051773895","1.73549369842918"
"74","2","299.834784977016","0","tCopula","0.898307956101792","19.5278805727241"
"75","2","292.86273607574","0","rot gumbelCopula","3.31640543017006",NA
"76","2","289.947288292101","0","rot galambosCopula","2.59745983590524",NA
"77","2","267.607748523887","0","rot huslerReissCopula","2.88500398396475",NA
"78","2","0","1","Independent",NA,NA
"79","2","278.926984837007","1","normalCopula","0.884263119768509",NA
"80","2","112.247176958328","1","claytonCopula","6.00149380278001",NA
"81","2","250.282071026514","1","gumbelCopula","2.94651535783728",NA
"82","2","247.411328719832","1","galambosCopula","2.21912511412779",NA
"83","2","231.156430398628","1","huslerReissCopula","2.54596577338731",NA
"84","2","253.69406380979","1","tevCopula","0.934621071601489","2.63375107281074"
"85","2","279.351381859469","1","tCopula","0.886115155975408","30.0968467238858"
"86","2","264.454906087029","1","rot gumbelCopula","3.05538609088275",NA
"87","2","262.113161911","1","rot galambosCopula","2.33854518542557",NA
"88","2","243.370290945392","1","rot huslerReissCopula","2.66847169856806",NA
"89","2","0","2","Independent",NA,NA
"90","2","231.202344178103","2","normalCopula","0.844476667459713",NA
"91","2","51.3238959571072","2","claytonCopula","4.56228247397436",NA
"92","2","205.877839046539","2","gumbelCopula","2.5310494537486",NA
"93","2","204.426991673373","2","galambosCopula","1.80874638035853",NA
"94","2","194.919630417939","2","huslerReissCopula","2.21463049115816",NA
"95","2","206.181523058041","2","tevCopula","0.931430794375925","4.05854937598023"
"96","2","231.149048613401","2","tCopula","0.844470640045821","852.309573427414"
"97","2","201.877298355091","2","rot gumbelCopula","2.50116816244251",NA
"98","2","200.882138347372","2","rot galambosCopula","1.77268989151253",NA
"99","2","194.482073914584","2","rot huslerReissCopula","2.21103442826695",NA
"100","3","0","0","Independent",NA,NA
"101","3","298.733362779666","0","normalCopula","0.894711653747944",NA
"102","3","109.816626743825","0","claytonCopula","6.28738062900055",NA
"103","3","268.025313642168","0","gumbelCopula","3.06430886085181",NA
"104","3","265.680792610657","0","galambosCopula","2.34401616139424",NA
"105","3","249.335609866637","0","huslerReissCopula","2.68879216618085",NA
"106","3","270.707840654152","0","tevCopula","0.946180465103523","3.06511539434171"
"107","3","298.767140494412","0","tCopula","0.895141650529229","112.487527636081"
"108","3","277.50699301206","0","rot gumbelCopula","3.13287940256712",NA
"109","3","275.800028909787","0","rot galambosCopula","2.41745700584997",NA
"110","3","259.197658067","0","rot huslerReissCopula","2.78957565138671",NA
"111","3","0","1","Independent",NA,NA
