,norm,gamma
0,2.321928094887362,1.139
1,2.321928094887362,1.679
2,2.321928094887362,1.329
3,2.321928094887362,1.193
4,2.321928094887362,1.061
5,2.321928094887362,1.598
6,2.321928094887362,0.93
7,2.321928094887362,1.112
8,2.321928094887362,0.696
9,2.321928094887362,1.482
10,2.321928094887362,0.867
11,2.321928094887362,0.651
12,2.321928094887362,0.651
13,2.321928094887362,0.615
14,2.321928094887362,0.65
15,2.321928094887362,0.795
16,2.321928094887362,1.619
17,2.321928094887362,0.949
18,2.321928094887362,0.714
19,2.321928094887362,0.802
20,2.321928094887362,0.606
21,2.321928094887362,1.565
22,2.321928094887362,1.176
23,2.321928094887362,1.199
24,2.321928094887362,1.274
25,2.321928094887362,0.732
26,2.321928094887362,0.832
27,2.321928094887362,0.786
28,2.321928094887362,0.966
29,2.321928094887362,0.814
30,2.321928094887362,0.732
31,2.321928094887362,0.959
32,2.321928094887362,0.868
33,2.321928094887362,0.605
34,2.321928094887362,0.768
35,2.321928094887362,0.649
36,2.321928094887362,0.605
37,2.321928094887362,0.642
38,2.321928094887362,0.605
39,2.321928094887362,1.165
40,1.874469117916141,0.668
41,1.874469117916141,0.524
42,1.874469117916141,0.66
43,1.874469117916141,0.596
44,1.874469117916141,0.551
45,1.874469117916141,0.641
46,1.874469117916141,0.569
47,1.874469117916141,0.849
48,1.874469117916141,0.687
49,1.874469117916141,0.624
50,1.874469117916141,0.541
51,1.874469117916141,1.049
52,1.874469117916141,0.849
53,1.874469117916141,0.579
54,1.874469117916141,0.669
55,1.874469117916141,0.497
56,1.874469117916141,0.669
57,1.874469117916141,0.596
58,1.874469117916141,0.66
59,1.874469117916141,0.532
60,1.874469117916141,0.615
61,1.874469117916141,0.651
62,1.874469117916141,0.587
63,1.874469117916141,0.642
64,1.874469117916141,0.886
65,1.874469117916141,1.563
66,1.874469117916141,0.823
67,1.874469117916141,0.524
68,1.874469117916141,1.175
69,1.874469117916141,1.284
70,1.874469117916141,0.894
71,1.874469117916141,0.696
72,1.874469117916141,0.597
73,1.874469117916141,0.813
74,1.874469117916141,1.139
75,1.874469117916141,0.632
76,1.874469117916141,0.632
77,1.874469117916141,0.867
78,1.874469117916141,0.805
79,1.874469117916141,0.966
80,1.584962500721156,0.542
81,1.584962500721156,0.488
82,1.584962500721156,0.569
83,1.584962500721156,0.414
84,1.584962500721156,0.56
85,1.584962500721156,0.509
86,1.584962500721156,0.444
87,1.584962500721156,0.452
88,1.584962500721156,2.133
89,1.584962500721156,0.65
90,1.584962500721156,0.542
91,1.584962500721156,0.531
92,1.584962500721156,0.487
93,1.584962500721156,0.596
94,1.584962500721156,0.506
95,1.584962500721156,0.568
96,1.584962500721156,0.723
97,1.584962500721156,0.524
98,1.584962500721156,0.588
99,1.584962500721156,0.497
100,1.584962500721156,0.597
101,1.584962500721156,0.524
102,1.584962500721156,0.533
103,1.584962500721156,0.66
104,1.584962500721156,0.506
105,1.584962500721156,0.787
106,1.584962500721156,0.614
107,1.584962500721156,0.469
108,1.584962500721156,0.805
109,1.584962500721156,0.47
110,1.584962500721156,0.714
111,1.584962500721156,0.488
112,1.584962500721156,0.634
113,1.584962500721156,0.596
114,1.584962500721156,0.696
115,1.584962500721156,0.533
116,1.584962500721156,0.76
117,1.584962500721156,0.524
118,1.584962500721156,0.659
119,1.584962500721156,0.595
120,3.169925001442312,1.507
121,3.169925001442312,1.048
122,3.169925001442312,1.31
123,3.169925001442312,1.147
124,3.169925001442312,0.859
125,3.169925001442312,0.886
126,3.169925001442312,1.112
127,3.169925001442312,0.848
128,3.169925001442312,1.201
129,3.169925001442312,1.148
130,3.169925001442312,1.88
131,3.169925001442312,1.076
132,3.169925001442312,1.229
133,3.169925001442312,1.508
134,3.169925001442312,0.741
135,3.169925001442312,0.996
136,3.169925001442312,1.211
137,3.169925001442312,2.033
138,3.169925001442312,0.805
139,3.169925001442312,0.958
140,3.169925001442312,2.087
141,3.169925001442312,1.446
142,3.169925001442312,1.681
143,3.169925001442312,1.031
144,3.169925001442312,1.101
145,3.169925001442312,0.913
146,3.169925001442312,1.818
147,3.169925001442312,1.834
148,3.169925001442312,1.898
149,3.169925001442312,1.148
150,3.169925001442312,1.075
151,3.169925001442312,1.21
152,3.169925001442312,1.129
153,3.169925001442312,0.994
154,3.169925001442312,0.894
155,3.169925001442312,0.922
156,3.169925001442312,0.967
157,3.169925001442312,1.174
158,3.169925001442312,1.031
159,3.169925001442312,2.151
160,2.662965012722429,0.931
161,2.662965012722429,1.066
162,2.662965012722429,0.938
163,2.662965012722429,0.858
164,2.662965012722429,0.766
165,2.662965012722429,0.793
166,2.662965012722429,0.74
167,2.662965012722429,0.795
168,2.662965012722429,0.856
169,2.662965012722429,0.768
170,2.662965012722429,0.787
171,2.662965012722429,1.039
172,2.662965012722429,0.641
173,2.662965012722429,0.758
174,2.662965012722429,0.777
175,2.662965012722429,0.705
176,2.662965012722429,0.993
177,2.662965012722429,0.922
178,2.662965012722429,0.895
179,2.662965012722429,0.849
180,2.662965012722429,0.984
181,2.662965012722429,1.003
182,2.662965012722429,1.238
183,2.662965012722429,0.976
184,2.662965012722429,1.075
185,2.662965012722429,0.705
186,2.662965012722429,0.976
187,2.662965012722429,0.859
188,2.662965012722429,0.932
189,2.662965012722429,0.849
190,2.662965012722429,1.067
191,2.662965012722429,0.822
192,2.662965012722429,0.796
193,2.662965012722429,1.102
194,2.662965012722429,0.823
195,2.662965012722429,0.894
196,2.662965012722429,1.03
197,2.662965012722429,0.885
198,2.662965012722429,1.211
199,2.662965012722429,0.877
200,2.321928094887362,0.813
201,2.321928094887362,0.822
202,2.321928094887362,0.723
203,2.321928094887362,0.922
204,2.321928094887362,0.624
205,2.321928094887362,0.723
206,2.321928094887362,1.111
207,2.321928094887362,0.886
208,2.321928094887362,0.696
209,2.321928094887362,0.651
210,2.321928094887362,0.686
211,2.321928094887362,0.669
212,2.321928094887362,0.66
213,2.321928094887362,0.748
214,2.321928094887362,0.643
215,2.321928094887362,0.768
216,2.321928094887362,0.669
217,2.321928094887362,0.75
218,2.321928094887362,0.859
219,2.321928094887362,0.786
220,2.321928094887362,0.84
221,2.321928094887362,1.363
222,2.321928094887362,0.885
223,2.321928094887362,0.967
224,2.321928094887362,1.119
225,2.321928094887362,1.077
226,2.321928094887362,1.021
227,2.321928094887362,0.777
228,2.321928094887362,0.822
229,2.321928094887362,0.65
230,2.321928094887362,0.922
231,2.321928094887362,0.884
232,2.321928094887362,0.777
233,2.321928094887362,0.642
234,2.321928094887362,0.767
235,2.321928094887362,0.694
236,2.321928094887362,0.859
237,2.321928094887362,0.724
238,2.321928094887362,0.85
239,2.321928094887362,0.803
240,4.087462841250339,2.441
241,4.087462841250339,1.444
242,4.087462841250339,1.346
243,4.087462841250339,1.437
244,4.087462841250339,2.349
245,4.087462841250339,1.285
246,4.087462841250339,1.68
