"",Participant,MT,strategy,repetition,IDe
1595,6,2.7300000000000004,5,5,7.886102330092194
1596,6,2.369999999999999,5,5,7.886102330092194
1597,6,1.7699999999999996,5,5,7.886102330092194
1598,6,2.2499999999999982,5,5,7.886102330092194
1599,6,1.5700000000000003,5,5,7.886102330092194
1600,6,2.210000000000001,5,5,7.886102330092194
1601,6,2.460000000000001,5,5,7.886102330092194
1602,6,1.4400000000000013,5,5,7.886102330092194
1603,6,1.3900000000000006,5,5,7.886102330092194
1604,6,2.6400000000000006,5,5,7.886102330092194
1605,6,1.5800000000000054,5,5,7.886102330092194
1606,6,2.1599999999999966,5,5,7.886102330092194
1607,6,2.0,5,5,7.886102330092194
1608,6,1.3599999999999994,5,5,7.886102330092194
1609,6,1.8200000000000003,5,5,7.886102330092194
1690,6,1.04,1,5,2.86139682883125
1691,6,0.40000000000000036,1,5,2.86139682883125
1692,6,0.33999999999999986,1,5,2.86139682883125
1693,6,0.3699999999999992,1,5,2.86139682883125
1694,6,0.8600000000000012,1,5,2.86139682883125
1695,6,0.5800000000000001,1,5,2.86139682883125
1696,6,0.5299999999999994,1,5,2.86139682883125
1697,6,0.34999999999999787,1,5,2.86139682883125
1698,6,0.48999999999999844,1,5,2.86139682883125
1699,6,1.6600000000000001,1,5,2.86139682883125
1700,6,1.3999999999999986,1,5,2.86139682883125
1701,6,0.6699999999999982,1,5,2.86139682883125
1702,6,0.5299999999999976,1,5,2.86139682883125
1703,6,0.9299999999999997,1,5,2.86139682883125
1704,6,0.6400000000000006,1,5,2.86139682883125
1705,6,0.9100000000000037,1,5,2.86139682883125
1706,6,0.4899999999999949,1,5,2.86139682883125
1707,6,0.9500000000000028,1,5,2.86139682883125
1882,6,1.5699999999999998,2,5,6.43204563508543
1883,6,1.2500000000000004,2,5,6.43204563508543
1884,6,1.1099999999999994,2,5,6.43204563508543
1885,6,1.1600000000000001,2,5,6.43204563508543
1886,6,0.8899999999999988,2,5,6.43204563508543
1887,6,0.7699999999999996,2,5,6.43204563508543
1888,6,0.8599999999999994,2,5,6.43204563508543
1889,6,0.990000000000002,2,5,6.43204563508543
1890,6,0.7699999999999996,2,5,6.43204563508543
1891,6,1.1999999999999993,2,5,6.43204563508543
1892,6,1.1400000000000006,2,5,6.43204563508543
1893,6,0.870000000000001,2,5,6.43204563508543
1894,6,1.3000000000000043,2,5,6.43204563508543
1895,6,0.8599999999999994,2,5,6.43204563508543
1896,6,1.0100000000000051,2,5,6.43204563508543
1897,6,1.1700000000000017,2,5,6.43204563508543
1898,6,2.04,3,5,4.298474989565614
1899,6,1.3800000000000008,3,5,4.298474989565614
1900,6,1.2300000000000004,3,5,4.298474989565614
1901,6,0.6699999999999999,3,5,4.298474989565614
1902,6,1.0899999999999999,3,5,4.298474989565614
1903,6,1.4599999999999973,3,5,4.298474989565614
1904,6,1.3999999999999986,3,5,4.298474989565614
1905,6,1.629999999999999,3,5,4.298474989565614
1906,6,1.4699999999999989,3,5,4.298474989565614
1907,6,0.9499999999999993,3,5,4.298474989565614
1908,6,1.1700000000000017,3,5,4.298474989565614
1909,6,1.0,3,5,4.298474989565614
1910,6,0.8299999999999983,3,5,4.298474989565614
1911,6,1.509999999999998,3,5,4.298474989565614
1912,6,2.0,3,5,4.298474989565614
1929,6,1.2999999999999998,4,5,5.984836207924573
1930,6,0.8599999999999994,4,5,5.984836207924573
1931,6,1.0699999999999985,4,5,5.984836207924573
1932,6,1.3900000000000006,4,5,5.984836207924573
1933,6,0.8300000000000001,4,5,5.984836207924573
1934,6,1.6799999999999997,4,5,5.984836207924573
1935,6,1.1799999999999997,4,5,5.984836207924573
1936,6,0.9600000000000009,4,5,5.984836207924573
1937,6,0.75,4,5,5.984836207924573
1938,6,1.4199999999999982,4,5,5.984836207924573
1939,6,1.7199999999999989,4,5,5.984836207924573
1940,6,1.5700000000000003,4,5,5.984836207924573
1941,6,1.0600000000000023,4,5,5.984836207924573
1942,6,1.8699999999999974,4,5,5.984836207924573
1943,6,0.7299999999999969,4,5,5.984836207924573
