"",participant,day,iteration,A,W,ID,IDe(2d),Duration
720,4,2,3,1024,64,4.0875,3.9142,1.356
721,4,2,3,1024,64,4.0875,3.9142,1.436
722,4,2,3,1024,64,4.0875,3.9142,1.139
723,4,2,3,1024,64,4.0875,3.9142,1.283
724,4,2,3,1024,64,4.0875,3.9142,2.384
725,4,2,3,1024,64,4.0875,3.9142,1.437
726,4,2,3,1024,64,4.0875,3.9142,1.906
727,4,2,3,1024,64,4.0875,3.9142,1.464
728,4,2,3,1024,64,4.0875,3.9142,1.229
729,4,2,3,1024,64,4.0875,3.9142,1.337
730,4,2,3,1024,64,4.0875,3.9142,1.318
731,4,2,3,1024,64,4.0875,3.9142,1.284
732,4,2,3,1024,64,4.0875,3.9142,2.413
733,4,2,3,1024,64,4.0875,3.9142,1.41
734,4,2,3,1024,64,4.0875,3.9142,1.454
735,4,2,3,1024,64,4.0875,3.9142,1.21
736,4,2,3,1024,64,4.0875,3.9142,1.436
737,4,2,3,1024,64,4.0875,3.9142,1.21
738,4,2,3,1024,64,4.0875,3.9142,1.086
739,4,2,3,1024,64,4.0875,3.9142,1.463
740,4,2,3,1024,128,3.1699,3.3984,0.994
741,4,2,3,1024,128,3.1699,3.3984,0.967
742,4,2,3,1024,128,3.1699,3.3984,1.022
743,4,2,3,1024,128,3.1699,3.3984,1.047
744,4,2,3,1024,128,3.1699,3.3984,0.878
745,4,2,3,1024,128,3.1699,3.3984,0.976
746,4,2,3,1024,128,3.1699,3.3984,1.753
747,4,2,3,1024,128,3.1699,3.3984,1.066
748,4,2,3,1024,128,3.1699,3.3984,0.768
749,4,2,3,1024,128,3.1699,3.3984,1.003
750,4,2,3,1024,128,3.1699,3.3984,0.939
751,4,2,3,1024,128,3.1699,3.3984,0.858
752,4,2,3,1024,128,3.1699,3.3984,1.129
753,4,2,3,1024,128,3.1699,3.3984,0.967
754,4,2,3,1024,128,3.1699,3.3984,1.226
755,4,2,3,1024,128,3.1699,3.3984,1.067
756,4,2,3,1024,128,3.1699,3.3984,1.163
757,4,2,3,1024,128,3.1699,3.3984,1.022
758,4,2,3,1024,128,3.1699,3.3984,1.148
759,4,2,3,1024,128,3.1699,3.3984,0.968
760,4,2,3,1024,96,3.5443,3.1938,0.814
761,4,2,3,1024,96,3.5443,3.1938,1.128
762,4,2,3,1024,96,3.5443,3.1938,1.111
763,4,2,3,1024,96,3.5443,3.1938,1.075
764,4,2,3,1024,96,3.5443,3.1938,1.318
765,4,2,3,1024,96,3.5443,3.1938,1.001
766,4,2,3,1024,96,3.5443,3.1938,1.039
767,4,2,3,1024,96,3.5443,3.1938,1.121
768,4,2,3,1024,96,3.5443,3.1938,0.858
769,4,2,3,1024,96,3.5443,3.1938,1.102
770,4,2,3,1024,96,3.5443,3.1938,2.178
771,4,2,3,1024,96,3.5443,3.1938,1.184
772,4,2,3,1024,96,3.5443,3.1938,0.849
773,4,2,3,1024,96,3.5443,3.1938,1.239
774,4,2,3,1024,96,3.5443,3.1938,1.653
775,4,2,3,1024,96,3.5443,3.1938,1.038
776,4,2,3,1024,96,3.5443,3.1938,1.572
777,4,2,3,1024,96,3.5443,3.1938,1.202
778,4,2,3,1024,96,3.5443,3.1938,1.183
779,4,2,3,1024,96,3.5443,3.1938,1.139
780,4,2,3,512,64,3.1699,3.0277,1.05
781,4,2,3,512,64,3.1699,3.0277,0.767
782,4,2,3,512,64,3.1699,3.0277,0.83
783,4,2,3,512,64,3.1699,3.0277,0.84
784,4,2,3,512,64,3.1699,3.0277,0.805
785,4,2,3,512,64,3.1699,3.0277,1.689
786,4,2,3,512,64,3.1699,3.0277,0.758
787,4,2,3,512,64,3.1699,3.0277,2.026
788,4,2,3,512,64,3.1699,3.0277,0.992
789,4,2,3,512,64,3.1699,3.0277,0.94
790,4,2,3,512,64,3.1699,3.0277,0.769
791,4,2,3,512,64,3.1699,3.0277,0.885
792,4,2,3,512,64,3.1699,3.0277,1.572
793,4,2,3,512,64,3.1699,3.0277,0.939
794,4,2,3,512,64,3.1699,3.0277,0.984
795,4,2,3,512,64,3.1699,3.0277,0.958
796,4,2,3,512,64,3.1699,3.0277,0.805
797,4,2,3,512,64,3.1699,3.0277,1.077
798,4,2,3,512,64,3.1699,3.0277,2.159
799,4,2,3,512,64,3.1699,3.0277,1.945
800,4,2,3,512,128,2.3219,2.5755,0.623
801,4,2,3,512,128,2.3219,2.5755,0.713
802,4,2,3,512,128,2.3219,2.5755,0.622
803,4,2,3,512,128,2.3219,2.5755,0.606
804,4,2,3,512,128,2.3219,2.5755,0.587
805,4,2,3,512,128,2.3219,2.5755,0.614
806,4,2,3,512,128,2.3219,2.5755,0.604
807,4,2,3,512,128,2.3219,2.5755,1.769
808,4,2,3,512,128,2.3219,2.5755,0.694
809,4,2,3,512,128,2.3219,2.5755,0.561
810,4,2,3,512,128,2.3219,2.5755,0.613
811,4,2,3,512,128,2.3219,2.5755,0.586
812,4,2,3,512,128,2.3219,2.5755,0.651
813,4,2,3,512,128,2.3219,2.5755,0.606
814,4,2,3,512,128,2.3219,2.5755,0.596
815,4,2,3,512,128,2.3219,2.5755,0.606
816,4,2,3,512,128,2.3219,2.5755,0.705
817,4,2,3,512,128,2.3219,2.5755,0.652
818,4,2,3,512,128,2.3219,2.5755,0.786
819,4,2,3,512,128,2.3219,2.5755,0.687
820,4,2,3,512,96,2.663,2.5162,0.931
821,4,2,3,512,96,2.663,2.5162,0.822
822,4,2,3,512,96,2.663,2.5162,0.965
823,4,2,3,512,96,2.663,2.5162,0.842
824,4,2,3,512,96,2.663,2.5162,0.697
825,4,2,3,512,96,2.663,2.5162,0.975
826,4,2,3,512,96,2.663,2.5162,1.002
827,4,2,3,512,96,2.663,2.5162,0.84
828,4,2,3,512,96,2.663,2.5162,0.767
829,4,2,3,512,96,2.663,2.5162,0.786
830,4,2,3,512,96,2.663,2.5162,0.75
831,4,2,3,512,96,2.663,2.5162,0.686
832,4,2,3,512,96,2.663,2.5162,0.74
833,4,2,3,512,96,2.663,2.5162,0.695
834,4,2,3,512,96,2.663,2.5162,0.804
835,4,2,3,512,96,2.663,2.5162,0.606
836,4,2,3,512,96,2.663,2.5162,0.931
837,4,2,3,512,96,2.663,2.5162,0.669
838,4,2,3,512,96,2.663,2.5162,1.085
839,4,2,3,512,96,2.663,2.5162,1.808
840,4,2,3,1408,64,4.5236,4.5002,1.626
841,4,2,3,1408,64,4.5236,4.5002,1.291
842,4,2,3,1408,64,4.5236,4.5002,1.157
843,4,2,3,1408,64,4.5236,4.5002,1.102
844,4,2,3,1408,64,4.5236,4.5002,1.301
845,4,2,3,1408,64,4.5236,4.5002,1.172
846,4,2,3,1408,64,4.5236,4.5002,2.17
847,4,2,3,1408,64,4.5236,4.5002,1.175
848,4,2,3,1408,64,4.5236,4.5002,2.259
849,4,2,3,1408,64,4.5236,4.5002,1.192
850,4,2,3,1408,64,4.5236,4.5002,1.978
851,4,2,3,1408,64,4.5236,4.5002,1.346
852,4,2,3,1408,64,4.5236,4.5002,1.978
853,4,2,3,1408,64,4.5236,4.5002,1.652
854,4,2,3,1408,64,4.5236,4.5002,1.834
855,4,2,3,1408,64,4.5236,4.5002,1.267
856,4,2,3,1408,64,4.5236,4.5002,1.997
857,4,2,3,1408,64,4.5236,4.5002,1.338
858,4,2,3,1408,64,4.5236,4.5002,1.643
859,4,2,3,1408,64,4.5236,4.5002,1.5
860,4,2,3,1408,128,3.585,3.1823,1.128
861,4,2,3,1408,128,3.585,3.1823,1.199
862,4,2,3,1408,128,3.585,3.1823,1.141
863,4,2,3,1408,128,3.585,3.1823,0.93
864,4,2,3,1408,128,3.585,3.1823,0.938
865,4,2,3,1408,128,3.585,3.1823,0.956
866,4,2,3,1408,128,3.585,3.1823,0.767
867,4,2,3,1408,128,3.585,3.1823,1.039
868,4,2,3,1408,128,3.585,3.1823,1.525
869,4,2,3,1408,128,3.585,3.1823,1.111
870,4,2,3,1408,128,3.585,3.1823,1.102
871,4,2,3,1408,128,3.585,3.1823,1.68
872,4,2,3,1408,128,3.585,3.1823,1.742
873,4,2,3,1408,128,3.585,3.1823,1.483
874,4,2,3,1408,128,3.585,3.1823,1.129
875,4,2,3,1408,128,3.585,3.1823,1.265
876,4,2,3,1408,128,3.585,3.1823,2.014
877,4,2,3,1408,128,3.585,3.1823,0.731
878,4,2,3,1408,128,3.585,3.1823,1.239
879,4,2,3,1408,128,3.585,3.1823,1.239
880,4,2,3,1408,96,3.9696,3.7415,1.429
881,4,2,3,1408,96,3.9696,3.7415,1.008
882,4,2,3,1408,96,3.9696,3.7415,0.931
883,4,2,3,1408,96,3.9696,3.7415,1.116
884,4,2,3,1408,96,3.9696,3.7415,2.404
885,4,2,3,1408,96,3.9696,3.7415,1.446
886,4,2,3,1408,96,3.9696,3.7415,1.148
887,4,2,3,1408,96,3.9696,3.7415,1.247
888,4,2,3,1408,96,3.9696,3.7415,1.274
889,4,2,3,1408,96,3.9696,3.7415,1.221
890,4,2,3,1408,96,3.9696,3.7415,1.346
891,4,2,3,1408,96,3.9696,3.7415,1.256
892,4,2,3,1408,96,3.9696,3.7415,1.762
893,4,2,3,1408,96,3.9696,3.7415,1.182
894,4,2,3,1408,96,3.9696,3.7415,1.183
895,4,2,3,1408,96,3.9696,3.7415,1.012
896,4,2,3,1408,96,3.9696,3.7415,1.31
897,4,2,3,1408,96,3.9696,3.7415,1.562
898,4,2,3,1408,96,3.9696,3.7415,2.296
899,4,2,3,1408,96,3.9696,3.7415,1.698
900,4,2,3,256,64,2.3219,2.4291,0.676
901,4,2,3,256,64,2.3219,2.4291,0.857
902,4,2,3,256,64,2.3219,2.4291,0.759
903,4,2,3,256,64,2.3219,2.4291,0.624
904,4,2,3,256,64,2.3219,2.4291,0.723
905,4,2,3,256,64,2.3219,2.4291,0.722
906,4,2,3,256,64,2.3219,2.4291,0.614
907,4,2,3,256,64,2.3219,2.4291,0.569
